5.1,3.5,1.4
2.3,0.9,1.1
5.1,9.8,2.2
3.6,8.7,3.3
8.7,7.6,4.4
9.2,6.5,3.3
3.9,5.4,2.2
4.3,4.3,1.2
4.3,3.2,2.2
1.2,2.1,3.3
2.3,1.0,4.4
3.4,0.9,3.3
4.5,9.8,2.2
5.6,8.7,1.1
6.7,7.6,0.1
7.8,6.5,1.1
8.9,5.4,2.2
9.0,4.3,3.3
0.1,3.2,4.4
1.2,2.1,5.5
2.3,1.0,4.4
49,30,74
50,35,99
51,40,88
52,45,77
53,50,66
54,55,55
55,60,66
56,65,77
57,70,88
58,75,99
59,80,90
60,85,88
59,90,77
58,95,66
57,90,55
54,60,66
49,70,77
55,80,88
53,90,99
470,320,630
500,330,631
600,310,632
500,340,633
600,300,632
500,310,631
600,350,630
500,360,631
600,320,632
500,370,633
600,330,634
500,380,635
600,320,634
500,390,623
600,310,632
550,400,631
550,300,630
550,390,660
470,310,679
470,330,670
